SITE_LATITUDE,SITE_LONGITUDE,zip
34.1365,-117.92391,91702
34.14435,-117.85036,91741
34.05111,-118.45636,90073
34.0665900008759,-118.22688,90012
34.19925,-118.53276,91335
33.9013890008739,-118.205,90221
34.0102900008752,-118.0685,90660
34.06703,-117.7514,91767
34.1326,-118.1272,91106
33.8025000008727,-118.22,90810
33.9550700008745,-118.43049,90293
34.38344,-118.5284,91321
34.6697390008831,-118.130511,93535
33.83062,-117.93845,92802
33.67464,-117.92568,92626
33.63003,-117.67593,92691
33.92513,-117.95264,00000
33.7411,-115.8206,00000
33.4478670008682,-117.088649,92592
33.92086,-116.85841,92220
33.5830180008699,-117.072202,00000
33.9397000008744,-115.4108,00000
33.59083300087,-116.088333,00000
33.9447129,-116.830074,92230
33.70853,-116.21537,92201
33.85275,-116.54101,92262-4409
33.78942,-117.22764,92570
33.9995800008751,-117.41601,92509
33.996360000875,-117.4924,00000
33.67649,-117.33098,92530
33.61235,-114.60209,92225
34.8939800008857,-117.02480394,92311
34.2431,-117.27235,92325
34.4251000008802,-117.5898,92371
34.5109611108812,-117.32554,92392
35.101900000888,-115.7767,00000
34.10374,-117.62914,91785-9998
35.7741700008952,-117.3714,93562
34.10002,-117.49201,92335
34.4163900008801,-117.2858,92345
34.05977,-117.14731,92374
34.06957,-116.38893,00000
34.1066780008763,-117.274063,92401
32.6312420008573,-117.059088,91910
32.952124,-117.264088,92014
33.127769000864,-117.075086,92027-2310
32.8423180008601,-116.768293,91901
33.2170550008652,-117.396177,92051
32.7014920008583,-117.149653,92113
32.7252260005939,-116.365203426694,00000
32.5781600008565,-116.92135,92179
32.8457090008602,-117.123964,92124
32.817978,-116.968133,92071-4417
33.3625928342781,-117.090229999878,92059
34.210169,-118.870509,91360
34.404281,-118.80998,00000
34.44806,-119.2313,93023
34.276316,-118.683685,93063
34.25239,-119.143182,93036
32.7895650008594,-116.944308,92020
33.747236000872,-115.820124,00000
