SITE_LATITUDE,SITE_LONGITUDE,zip
34.1365,-117.92391,91702
34.14435,-117.85036,91741
34.0665900008759,-118.22688,90012
34.19925,-118.53276,91335
33.9013890008739,-118.205,90221
34.0102900008752,-118.0685,90660
34.1326,-118.1272,91106
33.82376,-118.18921,90807
33.79236,-118.17533,90806
33.8596620008734,-118.200707,90805
34.38344,-118.5284,91321
34.813034257,-118.884819458,92343
33.83062,-117.93845,92802
33.63003,-117.67593,92691
33.4478670008682,-117.088649,92592
33.92086,-116.85841,92220
33.5830180008699,-117.072202,00000
33.9447129,-116.830074,92230
33.70853,-116.21537,92201
33.85275,-116.54101,92262-4409
33.9995800008751,-117.41601,92509
33.996360000875,-117.4924,00000
33.4636438345227,-116.971457297006,92592
33.67649,-117.33098,92530
34.2431,-117.27235,92325
34.030833,-117.61722,91761
34.5109611108812,-117.32554,92392
34.10374,-117.62914,91785-9998
34.10002,-117.49201,92335
34.2646400008783,-116.86147,92314
34.06957,-116.38893,00000
34.1066780008763,-117.274063,92401
34.1939253249244,-116.914063106369,92305
32.6312420008573,-117.059088,91910
33.127769000864,-117.075086,92027-2310
32.8423180008601,-116.768293,91901
33.2170550008652,-117.396177,92051
32.7014920008583,-117.149653,92113
32.7252260005939,-116.365203426694,00000
32.5781600008565,-116.92135,92179
32.8457090008602,-117.123964,92124
32.817978,-116.968133,92071-4417
32.543475,-117.029028,92173
33.3625928342781,-117.090229999878,92059
34.210169,-118.870509,91360
34.404281,-118.80998,00000
34.44806,-119.2313,93023
34.276316,-118.683685,93063
34.25239,-119.143182,93036
34.6697390008831,-118.130511,93535
32.7895650008594,-116.944308,92020
32.5426790008561,-117.030749,92173
33.747236000872,-115.820124,00000
