,Zip_Code,City,Income,Year,ED_Visits,Asthma Age Adj Rate,County,Daily Max 8hr Ozone,Daily AQI Ozone,Daily Mean PM2.5,DAILY_AQI_VALUE
0,90012,Los Angeles,35976.98061000001,2018,87,25.5,Los Angeles,0.04001719197707733,38.1432664756447,14.530019212295857,52.57156580211337
1,90012,Los Angeles,35976.98061000001,2017,84,27.3,Los Angeles,0.04402586206896552,45.18965517241379,13.986101532567046,51.4192049808429
2,90012,Los Angeles,35976.98061000001,2016,73,26.1,Los Angeles,0.041294943820224736,40.22752808988764,13.331975655430712,49.77415730337079
3,90012,Los Angeles,35976.98061000001,2015,62,24.3,Los Angeles,0.04331005586592177,43.19832402234636,14.47078212290504,52.384590316573565
4,90221,Compton,32263.57895,2018,406,68.4,Los Angeles,0.03843380281690138,35.72676056338028,13.372807017543865,49.157894736842096
5,90221,Compton,32263.57895,2017,452,76.3,Los Angeles,0.04191071428571425,40.63392857142857,12.42545454545454,46.58181818181818
6,90221,Compton,32263.57895,2016,456,77.4,Los Angeles,0.039125698324022316,37.02513966480447,11.007017543859654,42.6578947368421
7,90221,Compton,32263.57895,2015,473,82.3,Los Angeles,0.040903780068728524,38.927835051546396,11.55340909090909,43.67045454545455
8,90293,Playa Del Rey,45385.0,2018,12,19.8,Los Angeles,0.04186918604651159,39.10174418604651,9.891253644314869,38.71508379888268
9,90293,Playa Del Rey,45385.0,2017,19,25.9,Los Angeles,0.0420808383233533,40.026946107784426,9.891253644314869,38.71508379888268
10,90293,Playa Del Rey,45385.0,2016,13,17.5,Los Angeles,0.04305278592375367,41.08211143695015,9.891253644314869,38.71508379888268
11,90293,Playa Del Rey,45385.0,2015,27,26.2,Los Angeles,0.042839080459770064,41.02586206896552,9.891253644314869,38.71508379888268
12,90660,Pico Rivera,45520.2381,2018,259,40.7,Los Angeles,0.04285798816568046,42.34023668639053,12.679629629629636,47.424382716049394
13,90660,Pico Rivera,45520.2381,2017,308,47.2,Los Angeles,0.04198813056379822,42.3679525222552,12.029545454545454,46.35
14,90660,Pico Rivera,45520.2381,2016,292,45.4,Los Angeles,0.04078529411764705,40.09705882352941,11.667567567567566,45.468468468468465
15,90660,Pico Rivera,45520.2381,2015,336,54.0,Los Angeles,0.04444923076923076,45.50153846153846,11.754901960784313,44.529411764705884
16,90810,Long Beach,63017.0,2018,189,48.9,Los Angeles,0.03387572254335258,31.433526011560694,9.891253644314869,38.71508379888268
17,90810,Long Beach,63017.0,2017,247,63.7,Los Angeles,0.03544252873563217,33.1867816091954,9.891253644314869,38.71508379888268
18,90810,Long Beach,63017.0,2016,230,59.8,Los Angeles,0.03349582172701951,31.038997214484677,9.891253644314869,38.71508379888268
19,90810,Long Beach,63017.0,2015,255,70.2,Los Angeles,0.03461694915254235,32.16949152542373,9.891253644314869,38.71508379888268
20,91106,Pasadena,45901.35624,2018,52,27.4,Los Angeles,0.04699715099715098,49.70655270655271,10.460256410256415,40.68803418803419
21,91106,Pasadena,45901.35624,2017,48,22.4,Los Angeles,0.04993142857142857,56.034285714285716,9.74017094017094,38.92735042735042
22,91106,Pasadena,45901.35624,2016,50,22.6,Los Angeles,0.04603724928366765,48.91404011461318,9.700900900900903,38.45945945945946
23,91106,Pasadena,45901.35624,2015,49,21.6,Los Angeles,0.045387931034482736,47.51149425287356,9.97391304347826,38.6
24,91321,Newhall,45385.0,2018,111,30.2,Los Angeles,0.05213725490196082,61.114845938375346,10.195156695156696,38.45868945868945
25,91321,Newhall,45385.0,2017,119,31.6,Los Angeles,0.05469859154929576,67.69577464788732,10.19710982658959,39.34971098265896
26,91321,Newhall,45385.0,2016,146,40.7,Los Angeles,0.05307282913165267,62.47899159663866,9.344101123595513,35.8876404494382
27,91321,Newhall,45385.0,2015,165,46.9,Los Angeles,0.05357348703170034,62.939481268011534,8.705167173252274,34.349544072948326
28,91335,Reseda,45385.0,2018,504,66.8,Los Angeles,0.052617318435754235,60.62569832402234,14.921690140845072,53.956338028169014
29,91335,Reseda,45385.0,2017,466,61.8,Los Angeles,0.05510919540229888,66.566091954023,15.62470760233918,55.856725146198826
30,91335,Reseda,45385.0,2016,535,70.6,Los Angeles,0.05029512893982807,54.63896848137536,15.645639534883713,55.2892441860465
31,91335,Reseda,45385.0,2015,508,68.4,Los Angeles,0.050429378531073515,55.12146892655368,15.269418960244654,54.825688073394495
32,91360,Thousand Oaks,99256.87601,2018,98,25.3,Ventura,0.043941988950276255,41.76519337016575,9.27408450704225,36.67323943661972
33,91360,Thousand Oaks,99256.87601,2017,71,17.7,Ventura,0.046464088397790065,45.56353591160221,8.929096045197738,35.79661016949152
34,91360,Thousand Oaks,99256.87601,2016,90,23.3,Ventura,0.04494505494505497,42.760989010989015,9.59249999999999,38.23333333333333
35,91360,Thousand Oaks,99256.87601,2015,88,21.4,Ventura,0.045127071823204384,43.50828729281768,8.774011299435028,34.98870056497175
36,91702,Azusa,39635.1264,2018,430,68.7,Los Angeles,0.05068000000000003,57.89714285714286,10.944827586206898,41.74137931034483
37,91702,Azusa,39635.1264,2017,397,63.5,Los Angeles,0.05270000000000001,63.53888888888889,10.512389380530976,41.2920353982301
38,91702,Azusa,39635.1264,2016,377,59.2,Los Angeles,0.04877808988764047,55.34269662921349,10.14916666666667,39.68333333333333
39,91702,Azusa,39635.1264,2015,338,54.2,Los Angeles,0.046809090909090925,50.98484848484848,9.870370370370368,37.50925925925926
40,91741,Glendora,52622.33577,2018,78,31.0,Los Angeles,0.049977464788732336,57.819718309859155,12.451249999999998,46.309375
41,91741,Glendora,52622.33577,2017,85,36.7,Los Angeles,0.05242372881355933,63.93502824858757,11.260457516339871,42.91830065359478
42,91741,Glendora,52622.33577,2016,80,34.9,Los Angeles,0.05054545454545457,59.70170454545455,10.582621082621085,41.23361823361822
43,91741,Glendora,52622.33577,2015,75,30.2,Los Angeles,0.050154727793696265,58.091690544412614,13.948104956268205,50.65597667638484
44,91767,Pomona,26524.9654,2018,337,66.2,Los Angeles,0.043607344632768316,44.751412429378526,9.891253644314869,38.71508379888268
45,91767,Pomona,26524.9654,2017,321,61.6,Los Angeles,0.047171428571428566,53.38571428571429,9.891253644314869,38.71508379888268
46,91767,Pomona,26524.9654,2016,373,74.8,Los Angeles,0.04596600566572242,50.31444759206799,9.891253644314869,38.71508379888268
47,91767,Pomona,26524.9654,2015,384,80.6,Los Angeles,0.04962985074626865,58.91641791044776,9.891253644314869,38.71508379888268
48,91901,Alpine,56590.21959,2018,26,17.6,San Diego,0.05303910614525143,57.0558659217877,7.594985250737469,30.911504424778762
49,91901,Alpine,56590.21959,2017,32,19.5,San Diego,0.054846368715083874,62.726256983240226,7.160960960960963,29.702702702702698
50,91901,Alpine,56590.21959,2016,33,21.1,San Diego,0.05352367688022283,59.32311977715877,7.305187319884722,29.864553314121043
51,91901,Alpine,56590.21959,2015,37,15.8,San Diego,0.052794366197183085,57.57464788732394,6.221183800623055,25.69158878504673
52,91910,Chula Vista,18033.86686,2018,352,45.9,San Diego,0.03996480938416423,37.164222873900286,10.096551724137935,39.57758620689656
53,91910,Chula Vista,18033.86686,2017,357,46.4,San Diego,0.03995156695156694,37.60398860398861,9.768124999999998,39.025
