,Zip_Code,City,County,Income,Year,ED_Visits,Age_Adjusted_Rate,Age_Group
0,90620,Buena Park,Orange,69786.41129,2018,142,32.0,All Ages
1,90621,Buena Park,Orange,69786.41129,2018,130,34.7,All Ages
2,90623,La Palma,Orange,,2018,50,36.6,All Ages
3,90630,Cypress,Orange,69786.41129,2018,112,24.1,All Ages
4,90631,La Habra,Orange,82512.73457999999,2018,196,28.1,All Ages
5,90680,Stanton,Orange,51594.96815,2018,138,44.4,All Ages
6,90720,Los Alamitos,Orange,,2018,46,24.0,All Ages
7,90740,Seal Beach,Orange,69786.41129,2018,52,28.0,All Ages
8,91320,Newbury Park,Ventura,,2018,81,19.8,All Ages
9,91360,Thousand Oaks,Ventura,99256.87601,2018,98,25.3,All Ages
10,91361,Westlake Village,Ventura,129883.0488,2018,23,10.1,All Ages
11,91362,Thousand Oaks,Ventura,99256.87601,2018,60,17.4,All Ages
12,91377,Oak Park,Ventura,,2018,16,11.6,All Ages
13,91752,Mira Loma,Riverside,,2018,101,26.3,All Ages
14,91901,Alpine,San Diego,56590.21959,2018,26,17.6,All Ages
15,91902,Bonita,San Diego,,2018,41,27.2,All Ages
16,91906,Campo,San Diego,,2018,18,52.1,All Ages
17,91910,Chula Vista,San Diego,18033.86686,2018,352,45.9,All Ages
18,91911,Chula Vista,San Diego,18033.86686,2018,385,44.5,All Ages
19,91913,Chula Vista,San Diego,18033.86686,2018,128,25.1,All Ages
20,91914,Chula Vista,San Diego,18033.86686,2018,29,16.7,All Ages
21,91915,Chula Vista,San Diego,18033.86686,2018,49,15.3,All Ages
22,91932,Imperial Beach,San Diego,,2018,133,48.3,All Ages
23,91935,Jamul,San Diego,,2018,17,20.8,All Ages
24,91941,La Mesa,San Diego,51748.29618000001,2018,80,27.0,All Ages
25,91942,La Mesa,San Diego,51748.29618000001,2018,122,31.8,All Ages
26,91945,Lemon Grove,San Diego,37913.68421,2018,136,52.2,All Ages
27,91950,National City,San Diego,18033.86686,2018,388,66.1,All Ages
28,91977,Spring Valley,San Diego,37913.68421,2018,318,52.1,All Ages
29,91978,Spring Valley,San Diego,37913.68421,2018,28,30.2,All Ages
30,92007,Cardiff By The Sea,San Diego,,2018,17,18.7,All Ages
31,92008,Carlsbad,San Diego,74555.48462999999,2018,40,13.9,All Ages
32,92009,Carlsbad,San Diego,74555.48462999999,2018,37,8.2,All Ages
33,92010,Carlsbad,San Diego,74555.48462999999,2018,30,21.9,All Ages
34,92011,Carlsbad,San Diego,74555.48462999999,2018,23,11.0,All Ages
35,92014,Del Mar,San Diego,147595.3476,2018,15,12.7,All Ages
36,92019,El Cajon,San Diego,40100.02692,2018,103,25.1,All Ages
37,92020,El Cajon,San Diego,40100.02692,2018,251,40.9,All Ages
38,92021,El Cajon,San Diego,40100.02692,2018,289,42.9,All Ages
39,92024,Encinitas,San Diego,111987.7181,2018,76,15.7,All Ages
40,92025,Escondido,San Diego,51073.52273,2018,131,25.2,All Ages
41,92026,Escondido,San Diego,51073.52273,2018,108,20.3,All Ages
42,92027,Escondido,San Diego,51073.52273,2018,132,22.6,All Ages
43,92028,Fallbrook,San Diego,56590.21959,2018,97,22.1,All Ages
44,92029,Escondido,San Diego,51073.52273,2018,31,16.1,All Ages
45,92037,La Jolla,San Diego,,2018,38,10.0,All Ages
46,92040,Lakeside,San Diego,63548.20388,2018,114,28.2,All Ages
47,92054,Oceanside,San Diego,11165.69839,2018,106,22.0,All Ages
