,Zip Code,City,County,Income
0,90001,Los Angeles,Los Angeles,35976.980610000006
1,90002,Los Angeles,Los Angeles,35976.980610000006
2,90003,Los Angeles,Los Angeles,35976.980610000006
3,90004,Los Angeles,Los Angeles,35976.980610000006
4,90005,Los Angeles,Los Angeles,35976.980610000006
5,90006,Los Angeles,Los Angeles,35976.980610000006
6,90007,Los Angeles,Los Angeles,35976.980610000006
7,90008,Los Angeles,Los Angeles,35976.980610000006
8,90009,Los Angeles,Los Angeles,35976.980610000006
9,90010,Los Angeles,Los Angeles,35976.980610000006
10,90011,Los Angeles,Los Angeles,35976.980610000006
11,90012,Los Angeles,Los Angeles,35976.980610000006
12,90013,Los Angeles,Los Angeles,35976.980610000006
13,90014,Los Angeles,Los Angeles,35976.980610000006
14,90015,Los Angeles,Los Angeles,35976.980610000006
15,90016,Los Angeles,Los Angeles,35976.980610000006
16,90017,Los Angeles,Los Angeles,35976.980610000006
17,90018,Los Angeles,Los Angeles,35976.980610000006
18,90019,Los Angeles,Los Angeles,35976.980610000006
19,90020,Los Angeles,Los Angeles,35976.980610000006
20,90021,Los Angeles,Los Angeles,35976.980610000006
21,90022,Los Angeles,Los Angeles,35976.980610000006
22,90023,Los Angeles,Los Angeles,35976.980610000006
23,90024,Los Angeles,Los Angeles,35976.980610000006
24,90025,Los Angeles,Los Angeles,35976.980610000006
25,90026,Los Angeles,Los Angeles,35976.980610000006
26,90027,Los Angeles,Los Angeles,35976.980610000006
27,90028,Los Angeles,Los Angeles,35976.980610000006
28,90029,Los Angeles,Los Angeles,35976.980610000006
29,90030,Los Angeles,Los Angeles,35976.980610000006
30,90031,Los Angeles,Los Angeles,35976.980610000006
31,90032,Los Angeles,Los Angeles,35976.980610000006
32,90033,Los Angeles,Los Angeles,35976.980610000006
33,90034,Los Angeles,Los Angeles,35976.980610000006
34,90035,Los Angeles,Los Angeles,35976.980610000006
35,90036,Los Angeles,Los Angeles,35976.980610000006
36,90037,Los Angeles,Los Angeles,35976.980610000006
37,90038,Los Angeles,Los Angeles,35976.980610000006
38,90039,Los Angeles,Los Angeles,35976.980610000006
39,90040,Los Angeles,Los Angeles,35976.980610000006
40,90041,Los Angeles,Los Angeles,35976.980610000006
41,90042,Los Angeles,Los Angeles,35976.980610000006
42,90043,Los Angeles,Los Angeles,35976.980610000006
43,90044,Los Angeles,Los Angeles,35976.980610000006
44,90045,Los Angeles,Los Angeles,35976.980610000006
45,90046,Los Angeles,Los Angeles,35976.980610000006
46,90047,Los Angeles,Los Angeles,35976.980610000006
47,90048,Los Angeles,Los Angeles,35976.980610000006
48,90049,Los Angeles,Los Angeles,35976.980610000006
49,90050,Los Angeles,Los Angeles,35976.980610000006
50,90051,Los Angeles,Los Angeles,35976.980610000006
51,90052,Los Angeles,Los Angeles,35976.980610000006
52,90053,Los Angeles,Los Angeles,35976.980610000006
53,90054,Los Angeles,Los Angeles,35976.980610000006
54,90055,Los Angeles,Los Angeles,35976.980610000006
55,90056,Los Angeles,Los Angeles,35976.980610000006
56,90057,Los Angeles,Los Angeles,35976.980610000006
57,90058,Los Angeles,Los Angeles,35976.980610000006
58,90059,Los Angeles,Los Angeles,35976.980610000006
59,90060,Los Angeles,Los Angeles,35976.980610000006
60,90061,Los Angeles,Los Angeles,35976.980610000006
61,90062,Los Angeles,Los Angeles,35976.980610000006
62,90063,Los Angeles,Los Angeles,35976.980610000006
63,90064,Los Angeles,Los Angeles,35976.980610000006
64,90065,Los Angeles,Los Angeles,35976.980610000006
65,90066,Los Angeles,Los Angeles,35976.980610000006
66,90067,Los Angeles,Los Angeles,35976.980610000006
67,90068,Los Angeles,Los Angeles,35976.980610000006
68,90069,West Hollywood,Los Angeles,16396.15238
69,90070,Los Angeles,Los Angeles,35976.980610000006
70,90071,Los Angeles,Los Angeles,35976.980610000006
71,90072,Los Angeles,Los Angeles,35976.980610000006
72,90073,Los Angeles,Los Angeles,35976.980610000006
73,90074,Los Angeles,Los Angeles,35976.980610000006
74,90075,Los Angeles,Los Angeles,35976.980610000006
75,90076,Los Angeles,Los Angeles,35976.980610000006
76,90077,Los Angeles,Los Angeles,35976.980610000006
77,90078,Los Angeles,Los Angeles,35976.980610000006
78,90079,Los Angeles,Los Angeles,35976.980610000006
79,90080,Los Angeles,Los Angeles,35976.980610000006
80,90081,Los Angeles,Los Angeles,35976.980610000006
81,90082,Los Angeles,Los Angeles,35976.980610000006
82,90083,Los Angeles,Los Angeles,35976.980610000006
83,90084,Los Angeles,Los Angeles,35976.980610000006
84,90086,Los Angeles,Los Angeles,35976.980610000006
85,90087,Los Angeles,Los Angeles,35976.980610000006
